,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,years
0,LeBron James,97,#23,Los Angeles Lakers,F,12/30/84,2.06,113.4,$37436858,USA,2003,1,1,,36
1,Kawhi Leonard,97,#2,Los Angeles Clippers,F,06/29/91,2.01,102.1,$32742000,USA,2011,1,15,San Diego State,29
2,Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/06/94,2.11,109.8,$25842697,Greece,2013,1,15,,26
3,Kevin Durant,96,#7,Brooklyn Nets,F,09/29/88,2.08,104.3,$37199000,USA,2007,1,2,Texas,32
4,James Harden,96,#13,Houston Rockets,G,08/26/89,1.96,99.8,$38199000,USA,2009,1,3,Arizona State,31
5,Stephen Curry,95,#30,Golden State Warriors,G,03/14/88,1.91,83.9,$40231758,USA,2009,1,7,Davidson,32
6,Anthony Davis,94,#3,Los Angeles Lakers,F-C,03/11/93,2.08,100.7,$27093019,USA,2012,1,1,Kentucky,27
7,Paul George,93,#13,Los Angeles Clippers,F,05/02/90,2.03,95.3,$33005556,USA,2010,1,10,Fresno State,30
8,Damian Lillard,92,#0,Portland Trail Blazers,G,07/15/90,1.88,88.5,$29802321,USA,2012,1,6,Weber State,30
9,Joel Embiid,91,#21,Philadelphia 76ers,C,03/16/94,2.13,113.4,$27504630,Cameroon,2014,1,3,Kansas,26
10,Kyrie Irving,91,#11,Brooklyn Nets,G,03/23/92,1.88,81.6,$31742000,Australia,2011,1,1,Duke,28
11,Nikola Jokic,90,#15,Denver Nuggets,C,02/19/95,2.13,114.8,$27504630,Serbia,2014,2,41,,25
12,Russell Westbrook,90,#0,Houston Rockets,G,11/12/88,1.91,86.2,$38506482,USA,2008,1,4,UCLA,32
13,Klay Thompson,89,#11,Golden State Warriors,G,02/08/90,1.98,93.0,$32742000,USA,2011,1,11,Washington State,30
14,Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,11/15/95,2.11,112.5,$27285000,USA,2015,1,1,Kentucky,25
15,Jimmy Butler,88,#22,Miami Heat,G,09/14/89,2.01,99.8,$32742000,USA,2011,1,30,Marquette,31
16,Rudy Gobert,88,#27,Utah Jazz,C,06/26/92,2.16,108.0,$25258427,France,2013,1,27,,28
17,Blake Griffin,88,#23,Detroit Pistons,F,03/16/89,2.06,114.3,$34449964,USA,2009,1,1,Oklahoma,31
18,Donovan Mitchell,88,#45,Utah Jazz,G,09/07/96,1.85,95.7,$3635760,USA,2017,1,13,Louisville,24
19,Kemba Walker,88,#8,Boston Celtics,G,05/08/90,1.83,78.0,$32742000,USA,2011,1,9,UConn,30
20,Luka Doncic,87,#77,Dallas Mavericks,G-F,02/28/99,2.01,103.0,$7683360,Slovenia,2018,1,3,,21
21,LaMarcus Aldridge,87,#12,San Antonio Spurs,F-C,07/19/85,2.11,111.6,$26000000,USA,2006,1,2,Texas,35
22,Bradley Beal,87,#3,Washington Wizards,G,06/28/93,1.91,93.9,$27093018,USA,2012,1,3,Florida,27
23,Mike Conley,87,#10,Utah Jazz,G,10/11/87,1.85,83.9,$32511623,USA,2007,1,4,Ohio State,33
24,DeMar DeRozan,87,#10,San Antonio Spurs,G-F,08/07/89,1.98,99.8,$27739975,USA,2009,1,9,USC,31
25,CJ McCollum,87,#3,Portland Trail Blazers,G,09/19/91,1.91,89.4,$27556959,USA,2013,1,10,Lehigh,29
26,Victor Oladipo,87,#4,Indiana Pacers,G,05/04/92,1.93,96.6,$21000000,USA,2013,1,2,Indiana,28
27,Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,08/02/95,2.21,99.8,$27285000,Latvia,2015,1,4,,25
28,D'Angelo Russell,87,#0,Minnesota Timberwolves,G,02/23/96,1.93,87.5,$27285000,USA,2015,1,2,Ohio State,24
29,Pascal Siakam,87,#43,Toronto Raptors,F,04/02/94,2.06,103.0,$2351838,Cameroon,2016,1,27,New Mexico State,26
30,Ben Simmons,87,#25,Philadelphia 76ers,F,07/20/96,2.08,108.9,$8113929,Australia,2016,1,1,LSU,24
31,De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/97,1.91,77.6,$6392760,USA,2017,1,5,Kentucky,23
32,Devin Booker,86,#1,Phoenix Suns,G,10/30/96,1.96,93.4,$27285000,USA,2015,1,13,Kentucky,24
33,DeMarcus Cousins,86,#0,,C,08/13/90,2.08,122.5,$3500000,USA,2010,1,5,Kentucky,30
34,Andre Drummond,86,#0,Cleveland Cavaliers,C,08/10/93,2.08,122.5,$27093018,USA,2012,1,9,UConn,27
35,Draymond Green,86,#23,Golden State Warriors,F,03/04/90,1.98,104.3,$18539130,USA,2012,2,35,Michigan State,30
36,Jrue Holiday,86,#11,New Orleans Pelicans,G,06/12/90,1.91,81.6,$26131111,USA,2009,1,17,UCLA,30
37,Nikola Vucevic,86,#9,Orlando Magic,C,10/24/90,2.11,108.9,$28000000,Montenegro,2011,1,16,USC,30
38,John Wall,86,#2,Washington Wizards,G,09/06/90,1.93,88.5,$38199000,USA,2010,1,1,Kentucky,30
39,Jayson Tatum,85,#0,Boston Celtics,F,03/03/98,2.03,92.5,$7830000,USA,2017,1,3,Duke,22
40,Trae Young,85,#11,Atlanta Hawks,G,09/19/98,1.85,81.6,$6273000,USA,2018,1,5,Oklahoma,22
41,Eric Bledsoe,85,#6,Milwaukee Bucks,G,12/09/89,1.85,88.5,$15625000,USA,2010,1,18,Kentucky,31
42,Clint Capela,85,#15,Atlanta Hawks,C,05/18/94,2.08,95.7,$16896552,Switzerland,2014,1,25,,26
43,Tobias Harris,85,#12,Philadelphia 76ers,F,07/15/92,2.03,102.5,$32742000,USA,2011,1,19,Tennessee,28
44,Al Horford,85,#42,Philadelphia 76ers,C-F,06/03/86,2.06,111.6,$28000000,Dominican Republic,2007,1,3,Florida,34
45,Zach LaVine,85,#8,Chicago Bulls,G,03/10/95,1.98,82.1,$19500000,USA,2014,1,13,UCLA,25
46,Kyle Lowry,85,#7,Toronto Raptors,G,03/25/86,1.83,93.0,$33296296,USA,2006,1,24,Villanova,34
47,Khris Middleton,85,#22,Milwaukee Bucks,F,08/12/91,2.01,98.4,$30603448,USA,2012,2,39,Texas A&M,29
48,Chris Paul,85,#3,Oklahoma City Thunder,G,05/06/85,1.85,79.4,$38506482,USA,2005,1,4,Wake Forest,35
49,John Collins,84,#20,Atlanta Hawks,F,09/23/97,2.06,102.1,$2686560,USA,2017,1,19,Wake Forest,23
50,Buddy Hield,84,#24,Sacramento Kings,G,12/17/93,1.93,96.2,$4861207,The Bahamas,2016,1,6,Oklahoma,27
51,Kyle Kuzma,84,#0,Los Angeles Lakers,F,07/24/95,2.03,100.2,$1974600,USA,2017,1,27,Utah,25
52,Jamal Murray,84,#27,Denver Nuggets,G,02/23/97,1.93,91.2,$4444746,Canada,2016,1,7,Kentucky,23
53,Louis Williams,84,#23,Los Angeles Clippers,G,10/27/86,1.85,79.4,$8000000,USA,2005,2,45,,34
54,Marvin Bagley,83,#35,Sacramento Kings,F,03/14/99,2.11,106.6,$8556120,USA,2018,1,2,Duke,21
55,Bojan Bogdanovic,83,#44,Utah Jazz,G-F,04/18/89,2.03,98.0,$17000000,Croatia,2011,2,31,,31
56,Malcolm Brogdon,83,#7,Indiana Pacers,G,12/11/92,1.96,101.2,$20000000,USA,2016,2,36,Virginia,28
